,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,category,RestaurantsTakeOut,DriveThru,RestaurantsAttire,BYOBCorkage,BusinessAcceptsBitcoin,HasTV,RestaurantsGoodForGroups,NoiseLevel,GoodForDancing,Caters,WheelchairAccessible,Smoking,BYOB,WiFi,HappyHour,DogsAllowed,ByAppointmentOnly,BusinessAcceptsCreditCards,GoodForKids,CoatCheck,RestaurantsPriceRange2,BikeParking,Alcohol,RestaurantsDelivery,OutdoorSeating,RestaurantsReservations,RestaurantsTableService,Corkage
403,-ujBP1Dw0j1-Ffaz97-LXQ,Lama Dog Tap Room,116 Santa Barbara St,Santa Barbara,CA,93101,34.4157471,-119.6884801,4.0,238,"Beer, Wine & Spirits, Pubs, Arts & Entertainment, Kombucha, Nightlife, Wineries, Food, Bars, Beer Bar",True,,,,,True,True,'loud',False,False,True,u'no',,'free',True,True,False,True,,False,2,True,'beer_and_wine',True,True,False,,
526,kHOXo-IZSpixpctmHsGlyA,The Beach Grill at Padaro,3765 Santa Claus Ln,Carpinteria,CA,93013,34.4068624,-119.5485504,4.0,16,"American (Traditional), Restaurants",True,,'casual',,,,True,,,,,,,,,,,True,True,,2,,'beer_and_wine',True,True,False,,
570,UFpCraqzFBAhtZqmxmiWsA,Cat Therapy,"1213 State St, Ste L",Santa Barbara,CA,93101,34.4233018995,-119.7054707479,4.5,116,"Themed Cafes, Cafes, Pets, Arts & Entertainment, Women's Clothing, Coffee & Tea, Shopping, Pet Adoption, Fashion, Pet Sitting, Accessories, Pet Stores, Pet Services, Food, Restaurants",False,,,,,,,u'quiet',,False,True,,,u'free',,False,,True,True,,1,True,,,False,,,
614,Hqz96v1ymucUKNzIWfEKXw,Subway,"1936 State St, Ste B",Santa Barbara,CA,93101,34.430822,-119.714156,3.0,5,"Restaurants, Delis, Sandwiches, Fast Food",True,,'casual',,,True,True,,,True,True,,,,,,,True,True,,1,True,u'none',False,True,False,False,
630,JWFpjvCc_nkNDVtMPx1ZGg,Bogo SB,1114 State St,Santa Barbara,CA,93101,34.4230427,-119.7032863,4.5,12,"Food, Food Delivery Services, Burgers, Pizza, Caterers, Event Planning & Services, Restaurants",True,,,,False,,,,,True,True,,False,u'free',,,,True,,,,True,,True,,,False,
740,TZ-bgvsk189WywTLFrqfTQ,Ascending Health Juicery,34 E Sola St,Santa Barbara,CA,93101,34.426043,-119.705782,4.5,7,"Food, Health & Medical, Juice Bars & Smoothies",,,,,,,,,,,,,,,,,False,,,,2,,,,,,,
761,9L-MR0arflwFMF9szEBOOg,California Wine Festival,,Santa Barbara,CA,93101,34.4144660474,-119.6851896343,4.5,7,"Wineries, Food, Restaurants, Arts & Entertainment, Festivals, Food Stands",,,,,,,,,,,,,,u'no',,,False,,False,,,,,,,,,
770,uFF40n9pOqHK1ciajdoSEw,Tony's Restaurant,699 Linden Ave,Carpinteria,CA,93013,34.396988,-119.5210305,3.0,72,"Restaurants, American (Traditional)",True,,'casual',,,False,True,u'average',,False,,,,u'no',,,,True,True,,2,False,u'beer_and_wine',True,True,True,,
779,aYMpjij5ShtEoZueMrQPRw,The Mill,406 E Haley St,Santa Barbara,CA,93101,34.4211189,-119.690633,4.0,5,"Breweries, Shopping, Food Court, Food, Venues & Event Spaces, Restaurants, Event Planning & Services, Wineries, Wine Tasting Room, Arts & Entertainment, Shopping Centers",None,,,,,,,,,,True,,,,,,False,True,,,2,True,,None,,False,,
787,PaqDZUu76fZtMvcYqCEBig,Rincon Brewery,205 Santa Barbara St,Santa Barbara,CA,93101,34.4161821,-119.6897762,4.0,32,"Breweries, Brewpubs, Food",True,,,,False,,,,,False,True,,,,,True,,True,,,,True,,True,,,,
956,c6EVSB0qWsGDdNdYcwScgA,Carpinteria 76,5085 Carpinteria Ave,Carpinteria,CA,93013,34.3980988,-119.517742,2.0,12,"Convenience Stores, Gas Stations, Food, Automotive",False,,,,,,,,,,,,,,,,,True,,,2,False,,True,,,,
964,F3dxQiOwN55rSLw-BNSq6A,Sweet Alley,955 Embarcadero Del Mar,Goleta,CA,93117,34.4120096,-119.8575399,4.0,51,"Acai Bowls, Juice Bars & Smoothies, Ice Cream & Frozen Yogurt, Bubble Tea, Desserts, Food",True,,,,,,,,,False,False,,,'free',,True,,True,,,1,True,,None,,,,
1069,GgcvRnt5_z3NEC0D6vNncQ,Cafe Buenos Aires,1316 State St,Santa Barbara,CA,93101,34.424829,-119.706032,3.5,56,"Restaurants, Argentine",False,,u'casual',,,False,True,u'average',,,,,,,True,,,True,False,,2,,u'full_bar',False,True,True,,
1072,N-CBZKO37y_WSUN7ZMNGkg,Taqueria El Pastorcito,4427 Hollister Ave,Santa Barbara,CA,93110,34.4397058,-119.7708382,4.0,66,"Restaurants, Mexican",True,,'casual',,,True,True,u'average',,True,False,,,'no',,,,True,True,,1,True,u'none',None,False,False,True,
1109,nTZuJSfwCoNOyA1yS3rbOQ,The Silver Bough,1295 Coast Village Rd,Santa Barbara,CA,93108,34.4212447,-119.640407,4.5,7,"American (New), Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,MiMRlsXOpHJMSTDAuw8s1w,Su’s Bowl,"901 Embarcadero Del Mar, Unit 100",Isla Vista,CA,93117,34.4129239,-119.8573375,3.5,18,"Chinese, Restaurants, Asian Fusion, Szechuan",True,,,,,True,,,,,,,False,u'free',,False,,True,,,,True,u'none',True,True,False,False,
1147,V4lqQdll3_TAEtkrHDYbAA,Italia Pizza & Pasta,149 N Fairview Ave,Goleta,CA,93117,34.4427601,-119.8306695,3.5,24,"Italian, Pizza, Food, Restaurants, Beer, Wine & Spirits",True,,u'casual',,,True,True,u'quiet',,,,,,u'no',,,,True,True,,1,,u'beer_and_wine',True,True,False,,
1157,oXP5aohLv5e7R4eahaGXkQ,B and D's Curbside Grill,Earl Warren Showgrounds,Santa Barbara,CA,93108,34.4208305,-119.6981901,3.5,6,"Food, Food Trucks",,,,,,,,,,,,,,,,,,True,,,1,,,,,,,
1192,lTVHJAvtFQbQb6cPstEXyA,China Bowl & State Street Cafe,440 E Ortega St,Santa Barbara,CA,93101,34.4235663,-119.6925452,2.0,61,"American (New), American (Traditional), Chinese, Restaurants",True,,u'casual',,,True,True,u'average',,True,,,,u'free',,,,True,True,,2,True,u'beer_and_wine',True,True,True,,
1253,Ey0t4U6yqtxCeMaGPf7GcA,Brummis - the German Taste,3130 State St,Santa Barbara,CA,93105,34.440696,-119.732304,4.5,111,"German, Restaurants",True,,u'casual',,,False,True,u'average',,True,,,,u'no',,,,True,True,,2,,u'beer_and_wine',False,False,True,,
1267,ju4YP8SLdR_BmWr_-Xh83Q,Phamous Cafe,"7127 Hollister Ave, Ste 25",Goleta,CA,93117,34.428242,-119.876408,4.0,220,"Food, Vietnamese, Restaurants, Bubble Tea",True,,'casual',,,False,True,'average',,False,True,,False,'free',False,False,False,True,True,,1,True,'none',False,None,False,True,False
1274,qdpdUjdkEUpzYDdce2yZng,Plaza Deli,140 S Hope Ave,Santa Barbara,CA,93105,34.436708,-119.748708,4.0,188,"Sandwiches, Restaurants, Salad, Hot Dogs, Delis",True,,'casual',,False,False,True,u'average',,False,,,,u'no',,True,,True,True,,1,False,u'none',False,True,False,,
1299,bjhCtlYHrkgA5Ku8l-rB3g,Our Daily Bread,2700 De La Vina St,Santa Barbara,CA,93105,34.435812,-119.725001,3.5,106,"Restaurants, Cafes, Breakfast & Brunch, Bakeries, Food",True,,u'casual',,,False,False,u'average',,True,,,,'free',,,,True,True,,2,True,'none',False,True,True,False,
1336,cbkrO0zra1OiNGvtjw2igQ,Wok On the Wild Side,"901 Embarcadero Del Mar, Ste 100",Goleta,CA,93117,34.413105313,-119.8574306397,2.0,95,"Restaurants, Chinese",True,,u'casual',,,False,True,u'average',,False,,,,u'no',,,,True,True,,2,True,u'none',True,False,False,True,
1382,pUVRCYL8rT4I5Ry5FYkRsA,Topa Topa Brewing Company,120 Santa Barbara St,Santa Barbara,CA,93101,34.4157949941,-119.6885961141,4.5,105,"Food, Breweries",True,,,,,,,u'average',,False,True,,,,False,True,False,True,,,2,True,,None,True,,,
1421,_v3DcLatG70adfYzWTd-CQ,Pacific Health Foods,944 Linden Ave,Carpinteria,CA,93013,34.398436,-119.5187939,4.5,97,"Sandwiches, Specialty Food, Food, Health Markets, Juice Bars & Smoothies, Restaurants",True,,,,,,,,,,,,,u'free',,False,,True,,,2,True,,True,,,,
1539,SOl2m-ZsAmnCuQGdMZeANQ,Red Pepper Chinese Food Express,"966 Embarcadero Del Mar, Apt C",Isla Vista,CA,93117,34.411727,-119.8567951,3.5,5,"Restaurants, Fast Food, Chinese",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571,SHk_eYKzIOPvgwvTThtXiQ,Romaine's,UCen,Goleta,CA,93118,34.4115477,-119.8439999,3.5,6,"American (Traditional), Vegetarian, Restaurants",True,,,,,,True,,,,,,,,,,,True,True,,1,,,,,False,,
1635,j-lxie7nEh3UeUTpiqekkQ,Presto Pasta,827 E Montecito St,Santa Barbara,CA,93103,34.4242779,-119.6833015,3.0,8,"Italian, Restaurants",True,,u'casual',,,False,True,u'average',,,,,,,,,,True,True,,1,,u'none',False,True,False,,
1659,MAIfD4kJDCydgoD1l2b_vw,Corks n' Crowns,32 Anacapa St,Santa Barbara,CA,93101,34.4142112,-119.6887567,4.0,276,"Wine Bars, Beer, Wine & Spirits, Nightlife, Bars, Arts & Entertainment, Wineries, Food",,,u'casual',,,True,True,'average',False,,,,,'no',True,True,False,True,False,False,2,True,u'beer_and_wine',,True,False,,
1668,sjNVeNqhDjEFHoOybnt2ug,Meun Fan Thai Cafe,5664 Calle Real,Goleta,CA,93117,34.441504923,-119.8230233788,3.5,157,"Thai, Restaurants",True,,'casual',,,True,True,u'average',,True,,,,'no',,,,True,True,,2,True,u'beer_and_wine',True,True,True,True,
1671,jW4a3W9-UkFxpglHvo_Kqg,Meun Fan Thai Cafe,1819 Cliff Dr,Santa Barbara,CA,93109,34.401169,-119.721505,4.0,195,"Restaurants, Soup, Salad, Thai",None,,u'casual',,,True,True,u'quiet',,False,,,,u'no',,False,,True,True,,2,True,u'beer_and_wine',False,None,True,,
1706,3RtMd3VZ21WL5auDr6Jp9A,Cafe Zoma,918 State St,Santa Barbara,CA,93101,34.4209873,-119.7012134,4.0,27,"Food, Coffee & Tea",,,,,,,,,,,,,,u'free',,,,True,,,2,,,,True,,,
1754,ZUf0LUtX_bwNp1fYBhM_CA,Smart & Final Extra!,850 Linden Ave,Carpinteria,CA,93013,34.3972564,-119.518833,2.5,16,"Grocery, Fashion, Department Stores, Shopping, Food, Wholesale Stores",False,,,,,,,,,False,,,,,,,,True,,,2,True,,True,,,,
1783,bbEXAEFr4RYHLlZ-HFssTA,The Original Habit Burger Grill,5735 Hollister Ave,Goleta,CA,93117,34.4355701009,-119.8247056485,4.0,329,"Fast Food, Burgers, Restaurants",True,True,u'casual','yes_free',,False,True,u'average',,False,,,,u'no',,,,True,True,,2,True,u'none',True,True,False,False,False
1885,q6661I3CGW0UB740E5Zjfw,India House,418 State St,Santa Barbara,CA,93101,34.4165402,-119.6945773,2.0,136,"Home & Garden, Home Decor, Restaurants, Shopping, Indian",True,,u'casual',,,True,True,u'average',,False,,,,u'free',,,,True,True,,2,True,u'beer_and_wine',False,True,True,,
1895,1FURjeGJi_LBXcJQg8eskw,Padaro Beach Grill,3765 Santa Claus Ln,Carpinteria,CA,93013,34.4068326,-119.5485827,4.5,885,"American (Traditional), Restaurants, Seafood, Burgers, Tacos, Sandwiches, Mexican, Bars, Food, Beer Bar, Juice Bars & Smoothies, Nightlife",True,,u'casual',,False,False,True,u'average',False,True,True,,False,u'free',False,False,,True,True,False,2,True,u'beer_and_wine',True,True,True,False,
1910,uI15YInpDsGBUZcNfm_TfQ,Borrello's Pizza & Pastaria,3807 Santa Claus Ln,Carpinteria,CA,93013,34.4063061,-119.5476647,4.0,169,"Restaurants, French, Italian, Pizza",True,,'casual',,,True,True,u'average',,True,True,,,'free',True,True,,True,True,,2,True,'beer_and_wine',False,True,True,True,
1957,a1E2BPYnufFzb6YX2pplJg,Wahoo's Fish Tacos,511 State St,Santa Barbara,CA,93101,34.416913,-119.6961686,3.5,62,"Seafood, Restaurants, Mexican",True,,u'casual',,,True,True,u'average',,True,,,,,,,,True,True,,1,,u'beer_and_wine',False,False,False,,
1959,1HCbwHb9d_iPE_q5WKEbtA,Sweet Alley,7034 Marketplace Dr,Goleta,CA,93117,34.428532,-119.8739168,3.5,8,"Food, Ice Cream & Frozen Yogurt",,,,,,,,,,,,,,,,,,True,,,1,,,,,,,
2029,YB689VFiOlzUTBRPiauDFA,Terraza Cafe,3007 De La Vina St,Santa Barbara,CA,93105,34.4387119,-119.7286469,3.0,17,"American (Traditional), Restaurants, Mexican, American (New)",True,,,,,False,False,u'average',,,,,,u'no',,,,True,True,,,,,False,True,False,,
2044,sxuv5uZU15UHGT_HB1xYxQ,Islands Restaurant,3825 State St,Santa Barbara,CA,93105,34.438119,-119.748456,3.5,197,"Bars, Burgers, Restaurants, Nightlife, Sports Bars, American (New)",True,False,'casual',,,True,True,u'average',False,False,,,,'free',True,False,,True,True,False,2,True,'full_bar',True,True,True,True,
2055,GEGTsaKaO1R9fFB4sGS5qw,Santa Barbara Food Connection,5599 Hollister Ave,Goleta,CA,93117,34.4354208,-119.8203772,4.5,10,"Mexican, Restaurants, Food Trucks, Food",True,,,,,False,,,,True,True,,False,,,,,True,,,,True,u'none',True,False,,False,False
2083,Qi-A4ZgcEuSnq_8Fpfo_3Q,Our Lady of Guadalupe Mercado,227 N Nopal St,Santa Barbara,CA,93103,34.4230803,-119.6840083,4.5,8,"Mexican, Arts & Entertainment, Festivals, Restaurants, Religious Organizations, Churches",True,,u'casual',,,False,True,u'very_loud',,False,,,,'no',,,,False,True,,1,True,u'beer_and_wine',False,True,False,,
2092,HQ-C47_Xi5it1KzwEc0u0A,Barbarians,511 State St,Santa Barbara,CA,93101,34.4170059325,-119.6960398541,3.0,96,"Pizza, Bars, Sports Bars, Restaurants, Nightlife",True,,u'casual',,,True,True,u'average',False,False,,u'no',,'no',True,,,True,True,False,1,True,u'beer_and_wine',False,False,False,False,
2135,Wy8Hswf2cLQGRZN6armkag,Jack in the Box,6875 Hollister Ave,Goleta,CA,93117,34.4298966,-119.8687832057,1.5,86,"Restaurants, Fast Food, Mexican, Tacos, Burgers, Breakfast & Brunch",False,True,u'casual',,,True,True,u'average',,False,,,,u'no',,,,True,True,,1,True,u'none',True,False,False,,
2259,vC2qm1y3Au5czBtbhc-DNw,Sushi Teri,970 Linden Ave,Carpinteria,CA,93013,34.3985268,-119.5184755,3.0,167,"Restaurants, Sushi Bars",True,,u'casual',,,True,True,u'average',,False,,,,u'no',,,,True,True,,2,True,u'beer_and_wine',False,False,True,,
2316,DD3TxygdxBxKh9gbjCuLDA,Events By Rincon,3805 Santa Claus Ln,Carpinteria,CA,93013,34.4064015,-119.5478011,4.5,109,"Restaurants, American (Traditional), Food Delivery Services, Caterers, Venues & Event Spaces, Cocktail Bars, Bars, Wedding Planning, Nightlife, Food, Event Planning & Services",False,,,,False,False,,,,True,True,u'no',,u'free',False,False,False,False,,False,,False,u'full_bar',True,True,True,True,True
2396,EaTbY8HFwwF7i3SjVbHGYw,Montecito Wine Bistro,516 San Ysidro Rd,Montecito,CA,93108,34.4373228188,-119.6313193337,4.0,142,"Restaurants, Farmers Market, Bars, American (New), Food, Nightlife, Wine Bars, Beer, Wine & Spirits",True,,u'casual',,False,True,True,u'average',,True,True,u'no',True,u'free',,,,True,False,False,2,True,u'full_bar',True,True,True,True,True
2470,H-1qpp_77KggOAr9htUrEw,Cava Restaurant & Bar,1212 Coast Village Rd,Montecito,CA,93108,34.421378,-119.644135,4.0,367,"Tapas Bars, Nightlife, Spanish, Latin American, Mexican, Breakfast & Brunch, Restaurants, Cocktail Bars, Bars",True,,u'casual','yes_corkage',,True,True,u'average',,True,True,u'no',False,u'free',True,True,False,True,True,False,2,True,'full_bar',True,True,True,True,True
2534,DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,955 Embarcadero Del Mar,Goleta,CA,93117,34.41195,-119.857433,3.5,163,"Sushi Bars, Caterers, Food, Fast Food, Event Planning & Services, Japanese, Food Delivery Services, Korean, Restaurants, Specialty Food, Asian Fusion",True,,u'casual',,,False,True,u'average',,True,,,,u'free',False,,,True,True,,2,True,u'none',True,True,False,,
2553,q75UQjNm6AEK4XNnkDLxTQ,The Project -- Corazón Cocina & Taproom,214 State St,Santa Barbara,CA,93101,34.4145556,-119.6918679,4.0,162,"Breweries, Bars, Burgers, Mexican, Tacos, Cocktail Bars, Club Crawl, Breakfast & Brunch, Beer Bar, Nightlife, Restaurants, Food",True,,u'casual',,False,True,True,,,False,True,u'no',False,u'free',True,True,False,True,,False,2,True,u'full_bar',False,True,False,True,True
2600,Dp9Jxlocw7cnos9fE7HKIQ,Jack's Bistro & Bagels,3891 State St,Santa Barbara,CA,93105,34.439951,-119.750602,3.5,9,"Restaurants, Sandwiches, Breakfast & Brunch",,,,,,,,,,,,,,,,,,True,,,2,,,,False,,,
2614,FDTwPQ4CNWEOY0rfh4eTzQ,ParadICE Hawaiian Shave Ice & Ice Cream,"11 W De La Guerra St, Unit A, Paseo Nuevo Mall",Santa Barbara,CA,93101,34.419198636,-119.6996241767,5.0,192,"Food, Caterers, Event Planning & Services, Ice Cream & Frozen Yogurt, Shaved Ice, Desserts",True,False,,,,,,u'quiet',,,True,,,,,True,,True,True,,1,,,False,,,,
2646,CHh0ZFrQcsk4boOItr2Zuw,Albertsons,1018 Casitas Pass Rd,Carpinteria,CA,93013,34.3947808634,-119.5121614847,3.0,58,"Grocery, Drugstores, Pharmacy, Shopping, Food, Health & Medical",True,,,,,,,,,,,,,,,,False,True,,,2,True,,True,,,,
2656,wuzoQhym6ll3fjAiVgIJbw,Good Cup,918 State St,Santa Barbara,CA,93101,34.4210925915,-119.701066,3.5,109,"Coffee & Tea, Food",True,,,,,,,,,True,True,,,u'free',,,,True,,,1,True,'none',False,True,,,
2660,6kPHr6gZaU9732ptn9gJrA,La Guerrerita Mexican Food,"5698 Hollister Ave, Ste A",Goleta,CA,93117,34.4359054,-119.8230676,4.0,128,"Mexican, Restaurants, Breakfast & Brunch",True,,u'casual',,,True,True,u'average',,True,True,,False,u'no',True,True,,True,True,,1,True,u'beer_and_wine',True,True,True,True,
2721,iHdrLu8deF5GceB0V1rPhA,Oliver's,1198 Coast Village Rd,Santa Barbara,CA,93108,34.4213337,-119.6449814,4.5,313,"American (Traditional), Vegan, Restaurants",True,,u'dressy',,,True,True,u'average',,False,True,,False,u'free',False,True,False,True,False,,3,True,u'full_bar',True,True,True,True,True
2735,SaUbh0sMSev8gKNJYtC76g,Hob Nob,21 W Victoria St,Santa Barbara,CA,93101,34.423515,-119.706222,3.0,23,"American (New), Restaurants",True,,u'dressy',,,,True,,,,,,,,True,,,True,False,,2,,u'full_bar',False,True,True,,
2874,Nv6ruFQa6AG6g8f-_IxFCw,Alito’s,509 State St,Santa Barbara,CA,93101,34.416973,-119.696104,4.0,18,"New Mexican Cuisine, Restaurants, Mexican",True,,,,,True,,,,,True,,,,True,True,,True,,,,True,u'beer_and_wine',False,True,True,True,
2925,PPcz-0UtIJ8O7xDT551y2g,Intermezzo By Wine Cask,819 Anacapa St,Santa Barbara,CA,93101,34.4211464,-119.6988864,4.5,141,"Tapas Bars, Nightlife, Salad, Restaurants, Cocktail Bars, Bars, Wine Bars, Cafes, Pizza, American (New)",False,,u'casual',,False,True,True,u'average',,True,True,u'no',,u'free',,True,,True,False,,2,True,u'full_bar',False,True,True,True,
2955,2bl6G1zgXUHbMGwEocqMSg,Daves Dogs - Cart,132 S Milpas St,Santa Barbara,CA,93117,34.4196204,-119.6767648,5.0,156,"Food Stands, Food, Hot Dogs, Street Vendors, Restaurants",True,,'casual',,False,False,True,'average',,True,True,,,'no',False,True,,True,True,,1,True,'none',False,True,False,False,
2972,9JR9Ht6IX1r2jPPG689JyA,Subway,"1021 State St, Ste A",Santa Barbara,CA,93101,34.4218892,-119.7027782,2.5,18,"Sandwiches, Restaurants, Fast Food",True,,'casual',,False,False,True,,,True,,,,,,,,True,True,,1,True,u'none',True,False,False,False,
3022,zbrIMldF_O1ZQ0vpUaaa8A,Bluewater Grill - Santa Barbara,15 East Cabrillo Blvd,Santa Barbara,CA,93101,34.412758,-119.688965,4.0,768,"Seafood, Venues & Event Spaces, Cocktail Bars, Restaurants, Nightlife, Breakfast & Brunch, American (Traditional), Event Planning & Services, Bars, American (New)",True,,'casual',,False,True,True,'average',False,False,True,u'no',True,u'free',True,False,False,True,True,False,2,True,u'full_bar',True,True,True,True,True
3027,f4aCur7Vrf9F8YUAOFFWiA,Nothing Bundt Cakes,5784 Calle Real,Goleta,CA,93117,34.4417828086,-119.82568869,4.5,100,"Desserts, Bakeries, Cupcakes, Food",True,,,,,,,,,True,,,,,,,,True,,,2,True,,True,,,,
3055,29YqJwOGEuAWqlHZxMc1OA,Paradise Cafe,702 Anacapa St,Santa Barbara,CA,93101,34.4200355,-119.6968511,3.5,290,"American (Traditional), American (New), Nightlife, Restaurants, Seafood, Cafes",True,,'casual',,,True,True,u'average',,False,,,,u'free',True,,,True,True,,2,True,'full_bar',False,True,True,,
3066,HFhjwiTaIzXrKCPiN5EXmw,Trader Joe's,29 S Milpas St,Santa Barbara,CA,93103,34.4214956,-119.6776412,4.0,37,"Grocery, Beer, Wine & Spirits, Food",True,,,,,,,,,False,,,,,,,,True,,,2,True,,,,,,
3141,KiE0h68HGOO7ZXAqkMBdiw,Starbucks,1015 De La Vina St,Santa Barbara,CA,93101,34.4194400142,-119.704452981,2.5,35,"Food, Coffee & Tea",True,,,,,,,,,True,,,,u'free',,,,True,,,1,True,,,True,,,
3150,fLk_N8vU25DNZmbU-70gkw,Chipotle Mexican Grill,723 State St,Santa Barbara,CA,93101,34.4190289,-119.699083,3.5,57,"Restaurants, Fast Food, Mexican",True,,'casual','yes_free',,False,True,u'average',,True,,,,u'no',,,,True,True,,1,True,u'beer_and_wine',False,True,False,,False
3213,sNyHfboSOs-ESN76cYFfTA,Santorini Greek Island Grill,494 Ucen Rd,Isla Vista,CA,93117,34.4119091,-119.842623,4.5,35,"Mediterranean, Food, Restaurants, Greek, Specialty Food, Ethnic Food",True,,'casual',,,True,True,u'loud',,False,,,,'free',,,,True,True,,1,True,u'none',True,True,False,False,
3218,-Fka99c-tJ-epWYNIobqyQ,Pizza Mizza,,Santa Barbara,CA,93105,34.4208305,-119.6981901,3.5,169,"Food Delivery Services, Food, Restaurants, Pizza, Italian",True,,'casual',,,True,True,u'average',,True,True,,,'free',True,,,True,True,,2,True,u'beer_and_wine',True,True,True,True,
3234,ycbmvmBYk4w_ZmdrPL0tBQ,The Cruisery,501 State St,Santa Barbara,CA,93101,34.4167478,-119.6957697,4.0,362,"Breweries, Nightlife, Food, Cocktail Bars, Bars, Restaurants, Brewpubs, Gastropubs",None,,,,False,True,,u'average',,,True,u'outdoor',False,u'free',True,True,False,True,False,False,2,True,u'full_bar',False,True,True,True,
3278,fAiPD2OIEm9wtS7uJqzu5Q,Natural Cafe,6990 Market Pl Dr,Goleta,CA,93117,34.4294615,-119.8712408,4.0,130,"Food, Vegetarian, Salad, Restaurants, Cafes, American (Traditional), Burgers, Juice Bars & Smoothies",True,,'casual',,,True,True,u'average',,True,True,,True,u'free',,True,,True,True,,2,True,'beer_and_wine',False,True,False,True,
3298,dsNKRi0XlMm7JOWbVk0Nvw,Vicentas Mexican Cuisine,6920 Market Place Dr,Goleta,CA,93117,34.4294561,-119.8701753,4.0,136,"Mexican, Bars, Nightlife, New Mexican Cuisine, Restaurants",True,False,u'casual',,,True,True,u'average',,,,,,,True,,,True,True,,2,,u'full_bar',False,True,True,True,
